id,type
DB00641,Drug
DB00642,Drug
DB00648,Drug
DB00650,Drug
DB00651,Drug
DB00652,Drug
DB00654,Drug
DB00656,Drug
DB00657,Drug
DB00659,Drug
DB00661,Drug
DB00665,Drug
DB00668,Drug
DB00669,Drug
DB00672,Drug
DB00673,Drug
DB00674,Drug
DB00675,Drug
DB00678,Drug
DB00679,Drug
DB00680,Drug
DB00683,Drug
DB00685,Drug
DB00687,Drug
DB00690,Drug
DB00691,Drug
DB00692,Drug
DB00694,Drug
DB00695,Drug
DB00696,Drug
DB00697,Drug
DB00700,Drug
DB00703,Drug
DB00704,Drug
DB00706,Drug
DB00708,Drug
DB00712,Drug
DB00714,Drug
DB00715,Drug
DB00721,Drug
DB00724,Drug
DB00727,Drug
DB00728,Drug
DB00731,Drug
DB00732,Drug
DB00733,Drug
DB00734,Drug
DB00740,Drug
DB00745,Drug
DB00749,Drug
DB00750,Drug
DB00751,Drug
DB00753,Drug
DB00754,Drug
DB00756,Drug
DB00757,Drug
DB00758,Drug
DB00759,Drug
DB00762,Drug
DB00763,Drug
DB00768,Drug
DB00772,Drug
DB00773,Drug
DB00776,Drug
DB00780,Drug
DB00782,Drug
DB00783,Drug
DB00784,Drug
DB00788,Drug
DB00790,Drug
DB00794,Drug
DB00795,Drug
DB00796,Drug
DB00799,Drug
DB00800,Drug
DB00802,Drug
DB00804,Drug
DB00806,Drug
DB00808,Drug
DB00809,Drug
DB00810,Drug
DB00811,Drug
DB00813,Drug
DB00814,Drug
DB00818,Drug
DB00819,Drug
DB00820,Drug
DB00822,Drug
DB00829,Drug
DB00831,Drug
DB00834,Drug
DB00835,Drug
DB00836,Drug
DB00839,Drug
DB00841,Drug
DB00842,Drug
DB00843,Drug
DB00844,Drug
DB00850,Drug
DB00851,Drug
DB00860,Drug
DB00861,Drug
DB00862,Drug
DB00863,Drug
DB00864,Drug
DB00868,Drug
DB00869,Drug
DB00870,Drug
DB00871,Drug
DB00872,Drug
DB00876,Drug
DB00881,Drug
DB00883,Drug
DB00887,Drug
DB00889,Drug
DB00896,Drug
DB00897,Drug
DB00898,Drug
DB00899,Drug
DB00900,Drug
DB00903,Drug
DB00904,Drug
DB00905,Drug
DB00906,Drug
DB00907,Drug
DB00908,Drug
DB00909,Drug
DB00910,Drug
DB00912,Drug
DB00915,Drug
DB00918,Drug
DB00920,Drug
DB00921,Drug
DB00924,Drug
DB00925,Drug
DB00927,Drug
DB00929,Drug
DB00933,Drug
DB00937,Drug
DB00938,Drug
DB00949,Drug
DB00952,Drug
DB00953,Drug
DB00959,Drug
DB00960,Drug
DB00961,Drug
DB00962,Drug
DB00963,Drug
DB00964,Drug
DB00966,Drug
DB00968,Drug
DB00969,Drug
DB00973,Drug
DB00975,Drug
DB00978,Drug
DB00979,Drug
DB00980,Drug
DB00981,Drug
DB00983,Drug
DB00986,Drug
DB00988,Drug
DB00989,Drug
DB00990,Drug
DB00991,Drug
DB00993,Drug
DB00996,Drug
DB00997,Drug
DB00998,Drug
DB00999,Drug
DB01005,Drug
DB01006,Drug
DB01009,Drug
DB01011,Drug
DB01012,Drug
DB01013,Drug
DB01014,Drug
DB01017,Drug
DB01018,Drug
DB01019,Drug
DB01023,Drug
DB01024,Drug
DB01029,Drug
DB01030,Drug
DB01032,Drug
DB01035,Drug
DB01036,Drug
DB01037,Drug
DB01039,Drug
DB01041,Drug
DB01043,Drug
DB01047,Drug
DB01050,Drug
DB01059,Drug
DB01062,Drug
DB01064,Drug
DB01067,Drug
DB01068,Drug
DB01069,Drug
DB01073,Drug
DB01076,Drug
DB01079,Drug
DB01080,Drug
DB01083,Drug
DB01085,Drug
DB01086,Drug
DB01087,Drug
DB01088,Drug
DB01095,Drug
DB01097,Drug
DB01098,Drug
DB01100,Drug
DB01101,Drug
DB01104,Drug
DB01105,Drug
DB01106,Drug
DB01110,Drug
DB01113,Drug
DB01114,Drug
DB01115,Drug
DB01118,Drug
DB01119,Drug
DB01120,Drug
DB01128,Drug
DB01130,Drug
DB01132,Drug
DB01136,Drug
DB01142,Drug
DB01143,Drug
DB01148,Drug
DB01149,Drug
DB01151,Drug
DB01156,Drug
DB01157,Drug
DB01158,Drug
DB01159,Drug
DB01161,Drug
DB01162,Drug
DB01165,Drug
DB01169,Drug
DB01173,Drug
DB01174,Drug
DB01177,Drug
DB01182,Drug
DB01183,Drug
DB01184,Drug
DB01185,Drug
DB01186,Drug
DB01189,Drug
DB01193,Drug
DB01194,Drug
DB01195,Drug
DB01196,Drug
DB01198,Drug
DB01200,Drug
DB01203,Drug
DB01204,Drug
DB01205,Drug
DB01206,Drug
DB01210,Drug
DB01214,Drug
DB01215,Drug
DB01217,Drug
DB01218,Drug
DB01219,Drug
DB01220,Drug
DB01221,Drug
DB01222,Drug
DB01223,Drug
DB01224,Drug
DB01226,Drug
DB01229,Drug
DB01233,Drug
DB01234,Drug
DB01236,Drug
DB01238,Drug
DB01241,Drug
DB01242,Drug
DB01247,Drug
DB01248,Drug
DB01250,Drug
DB01254,Drug
DB01258,Drug
DB01260,Drug
DB01261,Drug
DB01268,Drug
DB01273,Drug
DB01275,Drug
DB01280,Drug
DB01291,Drug
DB01320,Drug
DB01324,Drug
DB01327,Drug
DB01337,Drug
DB01340,Drug
DB01356,Drug
DB01364,Drug
DB01367,Drug
DB01378,Drug
DB01393,Drug
DB01394,Drug
DB01400,Drug
DB01406,Drug
DB01409,Drug
DB01410,Drug
DB01427,Drug
DB01558,Drug
DB01577,Drug
DB01591,Drug
DB01595,Drug
DB01611,Drug
DB01612,Drug
DB01618,Drug
DB01623,Drug
DB01656,Drug
DB04839,Drug
DB04844,Drug
DB04845,Drug
DB04861,Drug
DB04896,Drug
DB05246,Drug
DB06201,Drug
DB06204,Drug
DB06209,Drug
DB06212,Drug
DB06216,Drug
DB06228,Drug
DB06274,Drug
DB06287,Drug
DB06335,Drug
DB06695,Drug
DB06710,Drug
DB06711,Drug
DB06800,Drug
DB08860,Drug
P22888,Protein
P30968,Protein
P10745,Protein
P09455,Protein
P00352,Protein
Q92781,Protein
P12271,Protein
O95237,Protein
P04035,Protein
P31645,Protein
P30556,Protein
P12821,Protein
P04150,Protein
Q9UBS5,Protein
O75899,Protein
Q05940,Protein
Q01959,Protein
Q15822,Protein
P43681,Protein
P17787,Protein
P36544,Protein
P30926,Protein
P32297,Protein
P30532,Protein
P20309,Protein
P11229,Protein
P24046,Protein
P48169,Protein
P34903,Protein
P30536,Protein
P14867,Protein
P18505,Protein
P28472,Protein
P47870,Protein
P18507,Protein
Q8N1C3,Protein
Q99928,Protein
P28476,Protein
O14764,Protein
P08588,Protein
Q99460,Protein
Q13200,Protein
P20618,Protein
P28074,Protein
P49721,Protein
P23975,Protein
P27338,Protein
P21397,Protein
P41143,Protein
P28335,Protein
P41145,Protein
Q8TCU5,Protein
P35372,Protein
P07550,Protein
P37231,Protein
P05121,Protein
Q99808,Protein
P62508,Protein
P11474,Protein
Q99519,Protein
P23141,Protein
Q8IVH4,Protein
Q96EY8,Protein
Q99707,Protein
Q9UBK8,Protein
P22033,Protein
O60494,Protein
P30542,Protein
Q07343,Protein
P21817,Protein
P29274,Protein
P08172,Protein
O76074,Protein
P18545,Protein
Q13956,Protein
Q12809,Protein
Q14500,Protein
P00374,Protein
Q9H244,Protein
P28702,Protein
P13631,Protein
P10826,Protein
P19793,Protein
P10276,Protein
P48443,Protein
P35348,Protein
P35368,Protein
P08908,Protein
P41595,Protein
P30939,Protein
P34969,Protein
P28221,Protein
P28222,Protein
P11388,Protein
Q09428,Protein
P48048,Protein
Q14654,Protein
P20701,Protein
Q92769,Protein
P03886,Protein
Q12791,Protein
P42261,Protein
Q09470,Protein
O00555,Protein
P00491,Protein
P23921,Protein
P09884,Protein
P31350,Protein
Q7LG56,Protein
Q07864,Protein
P56282,Protein
Q9NR33,Protein
Q9NRF9,Protein
Q14524,Protein
P21728,Protein
P21918,Protein
P08912,Protein
P08913,Protein
P46098,Protein
P18825,Protein
P21917,Protein
P08173,Protein
P28223,Protein
P18089,Protein
P35462,Protein
P14416,Protein
P50406,Protein
O15554,Protein
P00918,Protein
P39086,Protein
P22748,Protein
P29275,Protein
P27815,Protein
P00734,Protein
Q9NZV8,Protein
Q9UK17,Protein
Q9Y5Y9,Protein
P00533,Protein
P14324,Protein
O43451,Protein
P10253,Protein
P14410,Protein
P04746,Protein
P43088,Protein
P04083,Protein
P04818,Protein
P34995,Protein
P00747,Protein
O00180,Protein
Q13936,Protein
Q13621,Protein
Q13002,Protein
P42262,Protein
P80404,Protein
Q9UKV0,Protein
P23219,Protein
P35354,Protein
P25100,Protein
O43526,Protein
P04629,Protein
Q16620,Protein
P21964,Protein
Q04760,Protein
P14555,Protein
Q9Y478,Protein
P62942,Protein
P42345,Protein
P06401,Protein
P11511,Protein
P05108,Protein
P69905,Protein
P07437,Protein
Q9H3N8,Protein
Q9NYX4,Protein
P02671,Protein
P01133,Protein
P09038,Protein
P02675,Protein
P02679,Protein
P03372,Protein
P10275,Protein
P13945,Protein
P43119,Protein
Q03181,Protein
P35869,Protein
Q00975,Protein
Q08289,Protein
Q13698,Protein
Q01668,Protein
P22303,Protein
P06276,Protein
P51168,Protein
P37088,Protein
P51172,Protein
P51170,Protein
P05023,Protein
P08235,Protein
O00305,Protein
O60840,Protein
P54284,Protein
P05093,Protein
P35916,Protein
P04049,Protein
P36888,Protein
P09619,Protein
P35968,Protein
P10721,Protein
P15056,Protein
Q16739,Protein
P48167,Protein
P23416,Protein
P47989,Protein
P30085,Protein
P08174,Protein
Q05586,Protein
O15399,Protein
Q13224,Protein
Q14957,Protein
P09917,Protein
P33151,Protein
O14788,Protein
Q92731,Protein
O15530,Protein
P21554,Protein
P34972,Protein
P25021,Protein
Q71U36,Protein
P68371,Protein
P55017,Protein
O75469,Protein
P15502,Protein
P05164,Protein
P68366,Protein
P14679,Protein
P07202,Protein
Q99250,Protein
P24530,Protein
P25101,Protein
O14649,Protein
Q9NPC2,Protein
P78348,Protein
P35499,Protein
O43525,Protein
O43497,Protein
P19801,Protein
Q16515,Protein
P19634,Protein
P00749,Protein
P15121,Protein
P27361,Protein
P01375,Protein
Q9NR96,Protein
P09210,Protein
P07900,Protein
P14625,Protein
P00519,Protein
P16234,Protein
P07333,Protein
P07949,Protein
Q08345,Protein
P62158,Protein
P54750,Protein
P29074,Protein
Q13332,Protein
P23469,Protein
P38606,Protein
P05107,Protein
P22102,Protein
P31939,Protein
P10109,Protein
P15538,Protein
Q08499,Protein
Q99720,Protein
Q13255,Protein
Q14416,Protein
P41594,Protein
Q14832,Protein
P25103,Protein
P02708,Protein
P11230,Protein
Q07001,Protein
P07510,Protein
Q04844,Protein
Q9BYF1,Protein
Q02880,Protein
Q9Y2I1,Protein
Q9NYK1,Protein
Q9NR97,Protein
P16066,Protein
Q9UPY5,Protein
P09622,Protein
P00367,Protein
P04156,Protein
P11387,Protein
Q99584,Protein
P23297,Protein
P04271,Protein
P80511,Protein
P29034,Protein
Q16853,Protein
O14920,Protein
O15111,Protein
P21589,Protein
P15382,Protein
P51787,Protein
P49902,Protein
P22413,Protein
P29972,Protein
P07451,Protein
P05091,Protein
P09172,Protein
P63316,Protein
P26447,Protein
P01189,Protein
Q14181,Protein
P52209,Protein
P37288,Protein
P30518,Protein
P55011,Protein
Q9UP95,Protein
P13569,Protein
P07327,Protein
P00326,Protein
Q13639,Protein
P42330,Protein
P43115,Protein
P30531,Protein
O95180,Protein
O43570,Protein
Q9NY46,Protein
Q16790,Protein
P23280,Protein
P35219,Protein
Q07699,Protein
Q9NY72,Protein
Q8IWT1,Protein
P11473,Protein
P43116,Protein
P15144,Protein
Q9Y233,Protein
P00813,Protein
P49286,Protein
P48039,Protein
P00492,Protein
P25024,Protein
P41180,Protein
P15692,Protein
P29466,Protein
P99999,Protein
P01584,Protein
P42574,Protein
P02585,Protein
P12268,Protein
P05412,Protein
Q9NSA0,Protein
Q4U2R8,Protein
Q96RD7,Protein
P26358,Protein
Q07869,Protein
O60882,Protein
P21802,Protein
P19838,Protein
Q99835,Protein
P28482,Protein
P27986,Protein
O00459,Protein
Q92569,Protein
P27707,Protein
P27487,Protein
P16233,Protein
P49327,Protein
P07098,Protein
P16083,Protein
P08729,Protein
P00750,Protein
Q14289,Protein
O95665,Protein
P35228,Protein
P29474,Protein
Q16558,Protein
Q9H2S1,Protein
P16860,Protein
P17302,Protein
P19320,Protein
P10696,Protein
P17405,Protein
O60391,Protein
P48549,Protein
P48051,Protein
P59768,Protein
P08100,Protein
P31749,Protein
P24385,Protein
Q16881,Protein
P16220,Protein
P16471,Protein
P11137,Protein
P78559,Protein
Q9H169,Protein
Q9H4B7,Protein
P10415,Protein
P51843,Protein
P09211,Protein
P01579,Protein
P42684,Protein
P12931,Protein
P06241,Protein
P07947,Protein
P29317,Protein
P06239,Protein
P51692,Protein
P00797,Protein
P17948,Protein
P27169,Protein
P42263,Protein
O14732,Protein
P49841,Protein
P29218,Protein
P13500,Protein
Q13509,Protein
P00742,Protein
