Source,Target
DB00285,P31645
DB00287,P43088
DB00288,P04083
DB00288,P04150
DB00289,P23975
DB00289,P31645
DB00292,P18089
DB00292,P14867
DB00293,P04818
DB00295,P41143
DB00295,P41145
DB00295,P35372
DB00296,Q9Y5Y9
DB00297,P34995
DB00297,Q9Y5Y9
DB00302,P00747
DB00307,P28702
DB00307,P19793
DB00307,P48443
DB00308,Q12809
DB00308,O00180
DB00308,Q13936
DB00308,Q14654
DB00310,Q13621
DB00312,P48169
DB00312,P34903
DB00312,P14867
DB00312,Q13002
DB00312,P42262
DB00312,P43681
DB00312,P36544
DB00313,P80404
DB00313,Q9UKV0
DB00315,P08908
DB00315,P30939
DB00315,P28221
DB00315,P28222
DB00316,P23219
DB00316,P35354
DB00317,P00533
DB00318,P41143
DB00318,P41145
DB00318,P35372
DB00320,P08913
DB00320,P41595
DB00320,P28221
DB00320,P28222
DB00321,P20309
DB00321,P11229
DB00321,P08912
DB00321,P08913
DB00321,P08908
DB00321,P08173
DB00321,P41143
DB00321,P28223
DB00321,P23975
DB00321,P35348
DB00321,P08172
DB00321,P41145
DB00321,P25100
DB00321,P31645
DB00321,Q09470
DB00321,O43526
DB00321,P04629
DB00321,Q9NZV8
DB00321,Q9UK17
DB00321,Q16620
DB00323,P21964
DB00324,P04150
DB00327,P41143
DB00327,P41145
DB00327,P35372
DB00328,P23219
DB00328,P37231
DB00328,P35354
DB00328,Q04760
DB00328,P14555
DB00331,Q9Y478
DB00333,P41143
DB00333,Q8TCU5
DB00333,P35372
DB00334,P21728
DB00334,P20309
DB00334,P11229
DB00334,P21918
DB00334,P08912
DB00334,P08913
DB00334,P08908
DB00334,P46098
DB00334,P18825
DB00334,P21917
DB00334,P08173
DB00334,P28223
DB00334,P35348
DB00334,P28335
DB00334,P08172
DB00334,P18089
DB00334,P35368
DB00334,P35462
DB00334,P34969
DB00334,P28221
DB00334,P14416
DB00334,P28222
DB00334,P50406
DB00335,P08588
DB00337,P62942
DB00337,P42345
DB00344,P23975
DB00344,P31645
DB00346,P35348
DB00346,P35368
DB00346,P25100
DB00349,P24046
DB00349,P48169
DB00349,P34903
DB00349,P14867
DB00349,P18505
DB00349,P28472
DB00349,P47870
DB00349,P18507
DB00349,Q8N1C3
DB00349,Q99928
DB00349,P28476
DB00349,O14764
DB00350,P23219
DB00350,P48048
DB00351,P06401
DB00351,P04150
DB00356,Q12791
DB00357,P11511
DB00357,P05108
DB00358,P69905
DB00358,P29274
DB00361,P07437
DB00363,P21728
DB00363,P20309
DB00363,P11229
DB00363,Q9H3N8
DB00363,P08912
DB00363,P08913
DB00363,P08908
DB00363,P46098
DB00363,P18825
DB00363,P21917
DB00363,P08173
DB00363,P28223
DB00363,P35348
DB00363,P28335
DB00363,P08172
DB00363,P18089
DB00363,P35368
DB00363,P35462
DB00363,P34969
DB00363,P28221
DB00363,Q9NYX4
DB00363,P14416
DB00363,P28222
DB00363,P50406
DB00364,P02671
DB00364,P01133
DB00364,P09038
DB00364,P02675
DB00364,P02679
DB00367,P03372
DB00367,P10275
DB00367,P06401
DB00368,P08588
DB00368,P08913
DB00368,P18825
DB00368,P35348
DB00368,P18089
DB00368,P35368
DB00368,P07550
DB00368,P25100
DB00368,P13945
DB00370,P08913
DB00370,P46098
DB00370,P28223
DB00370,P28335
DB00370,P41145
DB00371,P48169
DB00371,P34903
DB00371,P14867
DB00373,P08588
DB00373,P07550
DB00374,Q9H244
DB00374,P43119
DB00374,Q03181
DB00376,P20309
DB00376,P11229
DB00376,P08912
DB00376,P08173
DB00376,P08172
DB00377,P46098
DB00379,Q14524
DB00379,P35869
DB00381,Q13936
DB00381,Q00975
DB00381,Q08289
DB00381,Q13698
DB00381,Q01668
DB00382,P22303
DB00382,P06276
DB00384,P51168
DB00384,P37088
DB00384,P51172
DB00384,P51170
DB00388,P35348
DB00388,P35368
DB00388,P25100
DB00390,P05023
DB00393,Q13936
DB00393,P08235
DB00393,Q08289
DB00393,Q13698
DB00393,O00305
DB00393,O60840
DB00393,P54284
DB00393,Q01668
DB00393,P35869
DB00396,P03372
DB00396,P05093
DB00396,P06401
DB00396,P08235
DB00398,P35916
DB00398,P04049
DB00398,P36888
DB00398,P09619
DB00398,P35968
DB00398,P10721
DB00398,P15056
DB00401,Q13936
DB00401,Q08289
DB00401,Q13698
DB00401,Q01668
DB00404,P24046
DB00404,P48169
DB00404,P34903
DB00404,P30536
DB00404,P14867
DB00404,P18505
DB00404,P28472
DB00404,P47870
DB00404,P18507
DB00404,Q8N1C3
DB00404,Q99928
DB00404,P28476
DB00404,O14764
DB00408,P21728
DB00408,P28223
DB00408,P28335
DB00408,P14416
DB00411,P11229
DB00411,P08172
DB00411,Q15822
DB00412,P37231
DB00413,P21728
DB00413,P21918
DB00413,P08913
DB00413,P08908
DB00413,P18825
DB00413,P21917
DB00413,P41595
DB00413,P28223
DB00413,P28335
DB00413,P18089
DB00413,P35462
DB00413,P28221
DB00413,P14416
DB00413,P28222
DB00418,P48169
DB00418,P34903
DB00418,P14867
DB00418,Q13002
DB00418,P42262
DB00418,P43681
DB00418,P36544
DB00419,Q16739
DB00421,P10275
DB00421,P08235
DB00422,P23975
DB00422,Q01959
DB00422,P31645
DB00425,P34903
DB00425,P14867
DB00431,P48167
DB00431,P23416
DB00431,P18505
DB00433,P14416
DB00434,P20309
DB00434,P11229
DB00434,P28223
DB00434,P28335
DB00434,P08172
DB00437,P47989
DB00439,P04035
DB00440,P04818
DB00440,P00374
DB00441,P04818
DB00441,P23921
DB00441,P30085
DB00444,P11388
DB00446,P08174
DB00449,P08913
DB00449,P35348
DB00449,P07550
DB00449,P06276
DB00450,P35348
DB00450,P14416
DB00454,Q05586
DB00454,O15399
DB00454,Q13224
DB00454,Q14957
DB00454,P41145
DB00457,Q12809
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00458,P20309
DB00458,P11229
DB00458,P08912
DB00458,P08173
DB00458,P28223
DB00458,P23975
DB00458,P35348
DB00458,P08172
DB00458,P25100
DB00458,P31645
DB00458,Q9NZV8
DB00458,Q9UK17
DB00459,P28702
DB00459,P13631
DB00459,P10826
DB00459,P09455
DB00459,P19793
DB00459,P10276
DB00459,P48443
DB00461,P23219
DB00461,P35354
DB00465,P23219
DB00465,P35354
DB00471,P09917
DB00472,P31645
DB00474,P14867
DB00475,P24046
DB00475,P48169
DB00475,P34903
DB00475,P14867
DB00475,P18505
DB00475,P28472
DB00475,P47870
DB00475,P18507
DB00475,Q8N1C3
DB00475,Q99928
DB00475,P28476
DB00475,O14764
DB00476,P23975
DB00476,Q01959
DB00476,P31645
DB00477,P21728
DB00477,P08908
DB00477,P28223
DB00477,P35348
DB00477,P35368
DB00477,P14416
DB00480,P35354
DB00480,P33151
DB00480,O14788
DB00481,P03372
DB00481,Q92731
DB00482,P35354
DB00482,O15530
DB00484,P08913
DB00484,P18825
DB00484,P18089
DB00486,P21554
DB00486,P34972
DB00489,Q12809
DB00489,P08588
DB00489,P07550
DB00490,P08908
DB00490,P14416
DB00491,O43451
DB00491,P10253
DB00492,P12821
DB00494,P21964
DB00496,P20309
DB00496,P11229
DB00496,P08912
DB00496,P08173
DB00496,P08172
DB00497,P41143
DB00497,P41145
DB00497,P35372
DB00499,P10275
DB00499,P35869
DB00500,P23219
DB00500,P35354
DB00501,P25021
DB00502,P21728
DB00502,Q13224
DB00502,P28223
DB00502,P35462
DB00502,P14416
DB00518,Q71U36
DB00518,P68371
DB00519,P12821
DB00521,P08588
DB00521,P07550
DB00524,P55017
DB00530,P00533
DB00530,O75469
DB00532,Q14524
DB00533,P35354
DB00533,P15502
DB00535,P05164
DB00537,P11388
DB00539,P03372
DB00540,P20309
DB00540,P11229
DB00540,P08912
DB00540,P08908
DB00540,P08173
DB00540,P28223
DB00540,P23975
DB00540,P35348
DB00540,P08172
DB00540,P25100
DB00540,P31645
DB00541,P07437
DB00541,P68366
DB00542,P12821
DB00543,P21728
DB00543,P11229
DB00543,P08913
DB00543,P23975
DB00543,P35348
DB00543,P31645
DB00543,P14416
DB00543,P14867
DB00547,P04150
DB00548,P14679
DB00550,P07202
DB00554,P23219
DB00554,P35354
DB00555,Q99250
DB00559,P24530
DB00559,P25101
DB00561,O14649
DB00561,Q9NPC2
DB00563,P00374
DB00564,Q14524
DB00571,P08588
DB00571,P08908
DB00571,P07550
DB00571,P28222
DB00571,P13945
DB00572,P20309
DB00572,P11229
DB00572,P08912
DB00572,P08173
DB00572,P08172
DB00573,P23219
DB00573,P35354
DB00575,P08913
DB00575,P18825
DB00575,P18089
DB00580,P35354
DB00585,P25021
DB00586,P23219
DB00586,P09917
DB00586,P35354
DB00586,P78348
DB00586,O43526
DB00586,P14555
DB00586,P35499
DB00586,O43525
DB00590,Q12809
DB00590,P35348
DB00590,P35368
DB00590,P25100
DB00591,P04150
DB00593,O43497
DB00594,P51168
DB00594,P37088
DB00594,P19801
DB00594,P78348
DB00594,P51172
DB00594,P51170
DB00594,Q16515
DB00594,P19634
DB00594,P00749
DB00598,P08588
DB00598,P35348
DB00598,P35368
DB00598,P07550
DB00602,P28472
DB00603,P03372
DB00603,P06401
DB00605,P23219
DB00605,P35354
DB00605,P15121
DB00605,Q03181
DB00605,P27361
DB00608,P01375
DB00608,Q9NR96
DB00608,P09210
DB00611,P41143
DB00611,P41145
DB00611,P35372
DB00612,P08588
DB00612,P07550
DB00615,P07900
DB00615,P14625
DB00619,P00519
DB00619,P09619
DB00619,P10721
DB00619,P16234
DB00619,P07333
DB00619,P04629
DB00619,P07949
DB00619,Q08345
DB00619,P07949
DB00620,P04150
DB00621,P10275
DB00622,P20309
DB00622,P11229
DB00622,P08912
DB00622,P08173
DB00622,P62158
DB00622,Q13936
DB00622,P35348
DB00622,P08172
DB00622,P35368
DB00622,P25100
DB00622,Q08289
DB00622,Q01668
DB00622,P54750
DB00623,P21728
DB00623,P62158
DB00623,P14416
DB00624,P10275
DB00630,P14324
DB00630,P29074
DB00630,Q13332
DB00630,P23469
DB00630,P38606
DB00631,P23921
DB00631,P09884
DB00633,P08913
DB00635,P04150
DB00640,P30542
DB00640,P29275
DB00640,P29274
DB00641,P04035
DB00641,P05107
DB00642,P04818
DB00642,P00374
DB00642,P22102
DB00642,P31939
DB00648,P10109
DB00648,P15538
DB00650,P04818
DB00651,P30542
DB00651,Q07343
DB00651,P29274
DB00651,P27815
DB00651,Q08499
DB00652,Q99720
DB00652,P41145
DB00652,P35372
DB00654,P43088
DB00656,P08913
DB00656,P08908
DB00656,P28223
DB00656,P35348
DB00656,P28335
DB00656,P31645
DB00657,Q15822
DB00659,Q8TCU5
DB00659,Q13255
DB00659,Q14416
DB00659,P41594
DB00659,Q14832
DB00661,Q12809
DB00661,Q14524
DB00661,O00555
DB00661,Q13936
DB00661,O43497
DB00661,Q14654
DB00661,P31645
DB00661,Q00975
DB00661,Q08289
DB00661,Q13698
DB00661,O00305
DB00661,O60840
DB00661,P54284
DB00661,Q01668
DB00665,P10275
DB00668,P08588
DB00668,P08913
DB00668,P35348
DB00668,P18089
DB00668,P35368
DB00668,P07550
DB00668,P25100
DB00669,P08908
DB00669,P30939
DB00669,P28221
DB00669,P28222
DB00672,Q09428
DB00673,P25103
DB00674,P22303
DB00674,Q15822
DB00674,P43681
DB00674,P17787
DB00674,P06276
DB00674,P36544
DB00674,P30926
DB00674,P32297
DB00674,P30532
DB00674,P02708
DB00674,P11230
DB00674,Q07001
DB00674,P07510
DB00674,Q04844
DB00675,P03372
DB00675,Q92731
DB00678,P30556
DB00679,P21728
DB00679,Q12809
DB00679,P28223
DB00679,P35348
DB00679,P35368
DB00679,P14416
DB00680,Q14524
DB00683,P24046
DB00683,P48169
DB00683,P34903
DB00683,P14867
DB00683,P18505
DB00683,P28472
DB00683,P47870
DB00683,P18507
DB00683,Q8N1C3
DB00683,Q99928
DB00683,P28476
DB00683,O14764
DB00685,P11388
DB00687,P10275
DB00687,P08235
DB00687,P04150
DB00690,P24046
DB00690,P48169
DB00690,P34903
DB00690,P14867
DB00690,P18505
DB00690,P28472
DB00690,P47870
DB00690,P18507
DB00690,Q8N1C3
DB00690,Q99928
DB00690,P28476
DB00690,O14764
DB00691,P12821
DB00691,Q9BYF1
DB00692,P08913
DB00692,P35348
DB00694,P11388
DB00694,Q02880
DB00695,P00918
DB00695,Q13621
DB00696,P08913
DB00696,P28223
DB00696,P23975
DB00696,P35348
DB00696,P18089
DB00696,P35368
DB00696,P28221
DB00696,P25100
DB00696,P14416
DB00696,P28222
DB00697,P08913
DB00697,P18825
DB00697,P18089
DB00697,Q9Y2I1
DB00700,P08235
DB00703,P00918
DB00703,P22748
DB00704,P41143
DB00704,P41145
DB00704,P35372
DB00706,P35348
DB00706,P35368
DB00706,P25100
DB00708,P41143
DB00708,P41145
DB00708,P35372
DB00712,P23219
DB00712,P35354
DB00714,P21728
DB00714,P21918
DB00714,P08913
DB00714,P08908
DB00714,P18825
DB00714,P21917
DB00714,P41595
DB00714,P28223
DB00714,P28335
DB00714,P18089
DB00714,P35462
DB00714,P28221
DB00714,Q9NYX4
DB00714,P14416
DB00714,P28222
DB00715,P20309
DB00715,P11229
DB00715,P08912
DB00715,P08173
DB00715,P28223
DB00715,P23975
DB00715,P08172
DB00715,P31645
DB00721,Q9Y5Y9
DB00721,P46098
DB00721,Q8TCU5
DB00721,Q01959
DB00721,Q15822
DB00724,Q9NYK1
DB00724,Q9NR97
DB00727,P16066
DB00728,P46098
DB00728,P08172
DB00728,Q15822
DB00731,Q09428
DB00731,P37231
DB00732,Q15822
DB00733,P22303
DB00733,P06276
DB00734,P21728
DB00734,P08913
DB00734,P08908
DB00734,P18825
DB00734,P21917
DB00734,P28223
DB00734,P35348
DB00734,P28335
DB00734,P18089
DB00734,P35368
DB00734,P35462
DB00734,P28221
DB00734,P14416
DB00740,Q9UPY5
DB00740,Q14524
DB00745,P35368
DB00745,Q01959
DB00749,P23219
DB00749,P35354
DB00749,P19793
DB00750,Q14524
DB00751,P25021
DB00751,P08913
DB00751,P28223
DB00751,P35348
DB00751,P34969
DB00753,P62158
DB00753,P42261
DB00753,Q09470
DB00753,P14867
DB00754,Q14524
DB00756,P09622
DB00756,P00367
DB00756,P09622
DB00757,P46098
DB00758,Q9H244
DB00759,P04156
DB00762,P11387
DB00763,P07202
DB00768,Q99584
DB00768,P23297
DB00768,P04271
DB00768,P80511
DB00768,P29034
DB00772,P06276
DB00773,P11388
DB00776,Q14524
DB00780,P80404
DB00780,Q16853
DB00780,P27338
DB00780,P21397
DB00782,P11229
DB00783,P03372
DB00783,Q92731
DB00783,O75469
DB00784,P23219
DB00784,P35354
DB00788,P23219
DB00788,P35354
DB00790,P12821
DB00794,P48169
DB00794,P34903
DB00794,P14867
DB00794,Q13002
DB00794,P42262
DB00794,P43681
DB00794,P36544
DB00795,P23219
DB00795,Q9UPY5
DB00795,P37231
DB00795,P09917
DB00795,P35354
DB00795,O14920
DB00795,O15111
DB00796,P30556
DB00799,P28702
DB00799,P13631
DB00799,P10826
DB00799,P10276
DB00800,P21728
DB00800,P21918
DB00800,P08913
DB00800,P18825
DB00800,P18089
DB00802,P35372
DB00804,P11229
DB00804,P08172
DB00806,P30542
DB00806,O76074
DB00806,Q07343
DB00806,P29274
DB00806,P21589
DB00806,P27815
DB00808,P15382
DB00808,P51787
DB00809,P20309
DB00809,P11229
DB00809,P08173
DB00809,P08172
DB00810,P11229
DB00810,Q15822
DB00811,P49902
DB00811,P22413
DB00813,P41143
DB00813,P41145
DB00813,P35372
DB00814,P23219
DB00814,P35354
DB00818,Q99250
DB00818,P35499
DB00818,P28472
DB00818,P47870
DB00819,P00918
DB00819,P22748
DB00819,P29972
DB00819,P07451
DB00820,O76074
DB00822,P05091
DB00822,P09172
DB00829,P24046
DB00829,P34903
DB00829,P30536
DB00829,P14867
DB00829,P18505
DB00829,P28472
DB00829,P47870
DB00829,P18507
DB00829,Q8N1C3
DB00829,Q99928
DB00829,P28476
DB00829,O14764
DB00831,P62158
DB00831,P35348
DB00831,Q9NYX4
DB00831,P14416
DB00831,P63316
DB00831,P26447
DB00834,P06401
DB00834,P04150
DB00835,P20309
DB00835,P11229
DB00835,P08912
DB00835,P08173
DB00835,P08172
DB00836,O00555
DB00836,P62158
DB00836,P41143
DB00836,P41145
DB00836,P35372
DB00836,P01189
DB00839,P48048
DB00841,P08588
DB00841,P07550
DB00842,P24046
DB00842,P48169
DB00842,P34903
DB00842,P14867
DB00842,P18505
DB00842,P28472
DB00842,P47870
DB00842,P18507
DB00842,Q8N1C3
DB00842,Q99928
DB00842,P28476
DB00842,O14764
DB00843,P22303
DB00843,P28223
DB00844,P41143
DB00844,P41145
DB00844,P35372
DB00850,P21728
DB00850,P62158
DB00850,P14416
DB00851,Q14181
DB00851,P52209
DB00860,P04150
DB00861,P23219
DB00861,P35354
DB00862,O76074
DB00862,P18545
DB00862,Q13956
DB00863,P25021
DB00864,P62942
DB00868,Q14524
DB00869,P00918
DB00869,P22748
DB00870,P23219
DB00870,P35354
DB00871,P07550
DB00872,P37288
DB00872,P30518
DB00876,P30556
DB00881,P12821
DB00883,P16066
DB00887,P55011
DB00887,Q13621
DB00887,Q9UP95
DB00887,P13569
DB00889,P46098
DB00896,P04150
DB00897,P24046
DB00897,P48169
DB00897,P34903
DB00897,P30536
DB00897,P14867
DB00897,P18505
DB00897,P28472
DB00897,P47870
DB00897,P18507
DB00897,Q8N1C3
DB00897,Q99928
DB00897,P28476
DB00897,O14764
DB00898,P07327
DB00898,P00326
DB00898,Q8TCU5
DB00898,P23416
DB00898,P14867
DB00899,P41143
DB00899,P41145
DB00899,P35372
DB00900,P00491
DB00903,Q13621
DB00903,P05023
DB00904,Q13639
DB00904,P08908
DB00904,P46098
DB00904,P35372
DB00904,P28222
DB00905,P34995
DB00905,P42330
DB00905,P43088
DB00905,P43115
DB00906,P30531
DB00907,P11229
DB00907,Q9Y5Y9
DB00907,Q14524
DB00907,P23975
DB00907,P08172
DB00907,Q01959
DB00907,P31645
DB00908,Q12809
DB00908,O00180
DB00908,Q14524
DB00909,Q14524
DB00909,P00918
DB00909,O43497
DB00909,P22748
DB00909,O95180
DB00909,O43570
DB00909,Q99250
DB00909,Q9NY46
DB00909,P35499
DB00909,P27338
DB00909,P21397
DB00909,Q16790
DB00909,P07451
DB00909,P23280
DB00909,P35219
DB00909,Q07699
DB00909,Q9NY72
DB00909,Q8IWT1
DB00910,P11473
DB00912,Q09428
DB00912,P37231
DB00915,Q8TCU5
DB00915,P14416
DB00918,P28221
DB00918,P28222
DB00920,Q07343
DB00920,P27815
DB00920,Q08499
DB00920,P52209
DB00921,P41143
DB00921,P41145
DB00921,P35372
DB00924,P28223
DB00925,P08913
DB00925,P18825
DB00925,P62158
DB00925,P35348
DB00925,P18089
DB00925,P07550
DB00927,P25021
DB00929,P43116
DB00929,P43115
DB00933,P28223
DB00933,P14416
DB00937,P23975
DB00937,Q01959
DB00938,P07550
DB00949,Q13224
DB00949,Q8TCU5
DB00952,P08908
DB00952,P30939
DB00952,P28221
DB00952,P28222
DB00953,P30939
DB00953,P28221
DB00953,P28222
DB00959,P04150
DB00960,P08588
DB00960,P08908
DB00960,P07550
DB00960,P28222
DB00961,Q9Y5Y9
DB00962,P30536
DB00962,P14867
DB00963,P23219
DB00963,P35354
DB00964,P08913
DB00964,P35348
DB00966,P30556
DB00966,P37231
DB00968,P08913
DB00969,P46098
DB00973,P15144
DB00975,O76074
DB00975,Q9Y233
DB00975,P27815
DB00975,P00813
DB00978,P11388
DB00979,P11229
DB00980,P49286
DB00980,P48039
DB00981,P22303
DB00983,P07550
DB00986,P11229
DB00988,P21728
DB00988,P09172
DB00988,P21918
DB00988,P21917
DB00988,P35462
DB00988,Q01959
DB00988,P14416
DB00989,P22303
DB00989,P06276
DB00990,P11511
DB00991,P23219
DB00991,P35354
DB00993,P00492
DB00996,P30542
DB00996,Q00975
DB00997,P11388
DB00998,P28221
DB00998,P28222
DB00999,P00918
DB00999,P55017
DB00999,P22748
DB00999,Q12791
DB00999,O43570
DB00999,Q16790
DB01005,P23921
DB01006,P11511
DB01009,P23219
DB01009,P35354
DB01009,P25024
DB01011,P15538
DB01012,P41180
DB01013,P04150
DB01014,P23219
DB01014,P37231
DB01014,P09917
DB01014,P35354
DB01017,P15692
DB01017,P09917
DB01017,P29466
DB01017,P99999
DB01017,P01584
DB01017,P42574
DB01018,P08913
DB01019,P08172
DB01023,P62158
DB01023,Q13936
DB01023,P08235
DB01023,O95180
DB01023,P63316
DB01023,Q08289
DB01023,Q13698
DB01023,Q01668
DB01023,P54750
DB01023,P02585
DB01024,P12268
DB01029,P30556
DB01029,P05412
DB01030,P11387
DB01032,Q9NSA0
DB01032,Q4U2R8
DB01032,Q96RD7
DB01035,Q14524
DB01035,P26358
DB01036,P20309
DB01036,P11229
DB01036,P08912
DB01036,P08173
DB01036,P08172
DB01037,P27338
DB01037,P21397
DB01039,Q07869
DB01039,O60882
DB01039,O60882
DB01041,P35354
DB01041,P01375
DB01041,P21802
DB01041,P19838
DB01043,P46098
DB01043,Q13224
DB01043,Q8TCU5
DB01047,P04150
DB01047,Q99835
DB01050,P23219
DB01050,P35354
DB01059,P11388
DB01062,P20309
DB01062,P11229
DB01062,P08172
DB01064,P08588
DB01064,P07550
DB01064,P28482
DB01064,P27986
DB01064,P13945
DB01064,O00459
DB01064,Q92569
DB01067,Q09428
DB01067,P37231
DB01068,P24046
DB01068,P48169
DB01068,P34903
DB01068,P30536
DB01068,P14867
DB01068,P18505
DB01068,P28472
DB01068,P47870
DB01068,P18507
DB01068,Q8N1C3
DB01068,Q99928
DB01068,P28476
DB01068,O14764
DB01069,P20309
DB01069,P11229
DB01069,P08912
DB01069,P08173
DB01069,P62158
DB01069,P28223
DB01069,P35348
DB01069,P08172
DB01069,P14416
DB01073,P23921
DB01073,P09884
DB01073,P27707
DB01076,P04035
DB01076,P27487
DB01076,P35869
DB01079,Q13639
DB01079,P41595
DB01079,P28223
DB01079,P28335
DB01080,Q9UBS5
DB01080,P80404
DB01083,P16233
DB01083,P49327
DB01083,P07098
DB01085,P20309
DB01085,P11229
DB01085,P08172
DB01086,Q9Y5Y9
DB01087,P16083
DB01087,P08729
DB01088,P34995
DB01088,P43119
DB01088,Q07343
DB01088,P00750
DB01088,P27815
DB01088,Q08499
DB01095,P04035
DB01097,Q14289
DB01097,P35869
DB01098,P04035
DB01100,Q12809
DB01100,P62158
DB01100,P35462
DB01100,P14416
DB01101,P04818
DB01104,Q01959
DB01104,P31645
DB01105,P23975
DB01105,Q01959
DB01105,P31645
DB01106,O95665
DB01110,P35228
DB01110,Q12809
DB01110,P29474
DB01110,O15554
DB01110,Q12791
DB01110,Q16558
DB01110,Q9H2S1
DB01113,Q07343
DB01113,Q9Y233
DB01114,P23975
DB01114,Q01959
DB01114,P31645
DB01115,P62158
DB01115,Q13936
DB01115,Q09470
DB01115,O95180
DB01115,Q08289
DB01115,Q13698
DB01115,Q01668
DB01118,Q12809
DB01118,P08588
DB01118,O95180
DB01119,P00918
DB01119,P55017
DB01119,Q12791
DB01119,Q14654
DB01119,P05023
DB01120,P15692
DB01120,Q09428
DB01128,P10275
DB01130,P04150
DB01132,P37231
DB01136,Q12809
DB01136,P15692
DB01136,P08588
DB01136,P35348
DB01136,P07550
DB01136,P16860
DB01136,P17302
DB01136,P19320
DB01142,P20309
DB01142,P11229
DB01142,P25021
DB01142,P08912
DB01142,P08913
DB01142,P08908
DB01142,P18825
